name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Citrobacter cronae	1748967	S	296	109	405	0.00000
Citrobacter enshiensis	2971264	S	71803	1295	73098	0.00068
Citrobacter sp. 172116965	2683822	S	1767	2867	4634	0.00004
Citrobacter sp. 21OH12SH02A-Citro	3015952	S	1302	7527	8829	0.00008
Citrobacter sp. CRE-46	1703250	S	1067	1354	2421	0.00002
Citrobacter sp. BDA59-3	2781952	S	658	34	692	0.00001
Citrobacter sp. Y3	2716879	S	400	735	1135	0.00001
Citrobacter sp. SX206	2712025	S	345	34233	34578	0.00032
Citrobacter sp. RHB25-C09	2742624	S	234	6	240	0.00000
Citrobacter sp. CF971	2566012	S	220	2353	2573	0.00002
Citrobacter sp. LUTT5	2697370	S	167	115	282	0.00000
Citrobacter sp. RHB20-C15	2742620	S	57	7231	7288	0.00007
Citrobacter sp. MGH 55	1439319	S	26	2	28	0.00000
Citrobacter sp. R56	1573676	S	11	0	11	0.00000
Citrobacter sp. SX212	2712024	S	10	60	70	0.00000
Citrobacter farmeri	67824	S	1825	249	2074	0.00002
Citrobacter amalonaticus	35703	S	1772	789	2561	0.00002
Citrobacter rodentium	67825	S	1208	232	1440	0.00001
Citrobacter koseri	545	S	857	140	997	0.00001
Citrobacter tructae	2562449	S	136	6	142	0.00000
Citrobacter arsenatis	2546350	S	108	4	112	0.00000
Citrobacter pasteurii	1563222	S	44	5	49	0.00000
Citrobacter europaeus	1914243	S	10	1	11	0.00000
Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus	1505597	S	2016	105	2121	0.00002
Blochmannia endosymbiont of Colobopsis nipponica	2681987	S	1711	82	1793	0.00002
Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri	1505596	S	1250	19	1269	0.00001
Blochmannia endosymbiont of Camponotus modoc	2945587	S	227	2183	2410	0.00002
Blochmannia endosymbiont of Camponotus sp.	700220	S	76	246	322	0.00000
Blochmannia endosymbiont of Camponotus nipponensis	2681986	S	23	4	27	0.00000
