name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium brasilense	1419277	S	2389	993	3382	0.00030
Bradyrhizobium guangxiense	1325115	S	2388	955	3343	0.00029
Bradyrhizobium xenonodulans	2736875	S	2365	482	2847	0.00025
Bradyrhizobium quebecense	2748629	S	2311	1087	3398	0.00030
Bradyrhizobium amphicarpaeae	1404768	S	2092	567	2659	0.00023
Bradyrhizobium betae	244734	S	2074	3152	5226	0.00046
Bradyrhizobium septentrionale	1404411	S	1913	1068	2981	0.00026
Bradyrhizobium huanghuaihaiense	990078	S	1904	557	2461	0.00022
Bradyrhizobium yuanmingense	108015	S	1885	2257	4142	0.00036
Bradyrhizobium daqingense	993502	S	1794	633	2427	0.00021
Bradyrhizobium ottawaense	931866	S	1541	3276	4817	0.00042
Bradyrhizobium pachyrhizi	280333	S	1030	870	1900	0.00017
Bradyrhizobium zhanjiangense	1325107	S	1024	619	1643	0.00014
Rhodopseudomonas palustris	1076	S	19636	5010	24646	0.00215
Rhodopseudomonas sp. P2A-2r	2991972	S	3399	677	4076	0.00036
Rhodopseudomonas sp. BAL398	3034676	S	3021	1489	4510	0.00039
Rhodopseudomonas boonkerdii	475937	S	1743	726	2469	0.00022
Tardiphaga sp. 709	3076039	S	1214	438	1652	0.00014
Tardiphaga sp. 42S5	1404799	S	813	535	1348	0.00012
Tardiphaga sp. 37S4	1404741	S	681	662	1343	0.00012
Tardiphaga sp. vice278	2592815	S	105	1701	1806	0.00016
Tardiphaga sp. vice154	2592814	S	95	1000	1095	0.00010
Tardiphaga sp. vice304	2592817	S	41	511	552	0.00005
Tardiphaga sp. vice352	2592816	S	22	448	470	0.00004
Tardiphaga alba	340268	S	1811	290	2101	0.00018
Tardiphaga robiniae	943830	S	759	820	1579	0.00014
Afipia sp. GAS231	1882747	S	3126	1679	4805	0.00042
Afipia sp. NBIMC_P1-C1	1320552	S	21	77	98	0.00001
Afipia carboxidovorans	40137	S	2937	3234	6171	0.00054
[Pseudomonas] carboxydohydrogena	290	S	2020	453	2473	0.00022
Nitrobacter hamburgensis	912	S	3992	743	4735	0.00041
Nitrobacter winogradskyi	913	S	1645	295	1940	0.00017
Nitrobacter sp. NHB1	3119830	S	247	128	375	0.00003
Variibacter gotjawalensis	1333996	S	3746	333	4079	0.00036
Rhizobium sp. TH2	2775403	S	1360	165	1525	0.00013
Rhizobium sp. BG4	2613770	S	1181	258	1439	0.00013
Rhizobium sp. WYJ-E13	2849093	S	1045	124	1169	0.00010
Rhizobium sp. SSA_523	2952477	S	918	164	1082	0.00009
Rhizobium sp. CC-CFT758	2926709	S	887	194	1081	0.00009
Rhizobium sp. CB3090	3039156	S	712	121	833	0.00007
Rhizobium sp. Pop5	1223565	S	704	248	952	0.00008
Rhizobium sp. 11515TR	2028343	S	687	102	789	0.00007
Rhizobium sp. SL42	2806346	S	686	164	850	0.00007
Rhizobium sp. WL3	2603277	S	671	164	835	0.00007
Rhizobium sp. 32-5/1	3019602	S	634	97	731	0.00006
Rhizobium sp. AB2/73	2795216	S	614	307	921	0.00008
Rhizobium sp. NZLR1	2731096	S	545	177	722	0.00006
Rhizobium sp. CIAT894	2020312	S	536	222	758	0.00007
Rhizobium sp. NXC14	1981173	S	500	170	670	0.00006
Rhizobium sp. SSM4.3	2919917	S	484	94	578	0.00005
Rhizobium sp. NLR16a	2731112	S	447	149	596	0.00005
Rhizobium sp. BT03	3045156	S	388	231	619	0.00005
Rhizobium sp. C104	2917727	S	383	249	632	0.00006
Rhizobium sp. K102	2918527	S	331	259	590	0.00005
Rhizobium sp. CB3171	3039157	S	296	294	590	0.00005
Rhizobium sp. 007	2785056	S	237	455	692	0.00006
Rhizobium sp. TRM96647	2979861	S	204	35	239	0.00002
Rhizobium sp. X9	2815360	S	201	761	962	0.00008
Rhizobium sp. TRM96650	2979863	S	186	57	243	0.00002
Rhizobium sp. BT04	3045157	S	177	280	457	0.00004
Rhizobium sp. CC1099	3039160	S	141	327	468	0.00004
Rhizobium sp. TRM95796	2979862	S	127	44	171	0.00001
Rhizobium sp. NXC24	2048897	S	118	262	380	0.00003
Rhizobium sp. WSM4643	3138253	S	116	193	309	0.00003
Rhizobium sp. Kim5	2020311	S	115	346	461	0.00004
Rhizobium sp. TAL182	2020313	S	112	264	376	0.00003
Rhizobium sp. SU303	3138065	S	111	296	407	0.00004
Rhizobium sp. CB3060	3138255	S	105	300	405	0.00004
Rhizobium sp. WSM1274	3138254	S	100	215	315	0.00003
Rhizobium sp. CCGE 510	1132836	S	92	19	111	0.00001
Rhizobium sp. SRDI969	3138252	S	91	224	315	0.00003
Rhizobium sp. B230/85	2819994	S	65	352	417	0.00004
Rhizobium sp. BT-226	2986922	S	65	471	536	0.00005
Rhizobium sp. ZX09	2291939	S	63	570	633	0.00006
Rhizobium sp. T1473	555321	S	41	970	1011	0.00009
Rhizobium sp. L51/94	2819999	S	36	170	206	0.00002
Rhizobium sp. CCGE531	2364271	S	32	630	662	0.00006
Rhizobium sp. RCAM05350	2895568	S	31	0	31	0.00000
Rhizobium sp. BT-175	2986929	S	31	282	313	0.00003
Rhizobium sp. N324	1703969	S	29	630	659	0.00006
Rhizobium sp. CCGE532	2364272	S	26	890	916	0.00008
Rhizobium sp. MJ22	3024248	S	23	272	295	0.00003
Rhizobium sp. T136	555319	S	18	720	738	0.00006
Rhizobium sp. BJ04	3024242	S	18	225	243	0.00002
Rhizobium leguminosarum	384	S	4141	7173	11314	0.00099
Rhizobium etli	29449	S	1456	857	2313	0.00020
Rhizobium phaseoli	396	S	1248	733	1981	0.00017
Rhizobium rhizogenes	359	S	1075	963	2038	0.00018
Rhizobium jaguaris	1312183	S	984	121	1105	0.00010
Rhizobium ruizarguesonis	2081791	S	961	594	1555	0.00014
Rhizobium sullae	50338	S	945	177	1122	0.00010
Rhizobium gallicum	56730	S	871	722	1593	0.00014
Rhizobium tumorigenes	2041385	S	796	295	1091	0.00010
Rhizobium daejeonense	240521	S	765	418	1183	0.00010
Rhizobium lusitanum	293958	S	675	91	766	0.00007
Rhizobium tropici	398	S	672	347	1019	0.00009
Rhizobium bangladeshense	1138189	S	672	149	821	0.00007
Rhizobium binae	1138190	S	619	238	857	0.00007
Rhizobium gei	1395951	S	577	101	678	0.00006
Rhizobium lentis	1138194	S	550	172	722	0.00006
Rhizobium anhuiense	1184720	S	506	183	689	0.00006
Rhizobium hidalgonense	1538159	S	494	140	634	0.00006
Rhizobium rosettiformans	1368430	S	476	397	873	0.00008
Rhizobium rhizoryzae	451876	S	467	139	606	0.00005
Rhizobium indicum	2583231	S	373	280	653	0.00006
Rhizobium acidisoli	1538158	S	267	183	450	0.00004
Rhizobium oryzihabitans	2267833	S	206	811	1017	0.00009
Rhizobium croatiense	2867516	S	190	166	356	0.00003
Rhizobium grahamii	1120045	S	160	189	349	0.00003
Rhizobium laguerreae	1076926	S	121	189	310	0.00003
Rhizobium sophoriradicis	1535245	S	119	303	422	0.00004
Rhizobium indigoferae	158891	S	116	240	356	0.00003
Rhizobium beringeri	3019934	S	97	773	870	0.00008
Rhizobium brockwellii	3019932	S	65	358	423	0.00004
Rhizobium johnstonii	3019933	S	55	738	793	0.00007
Rhizobium rhododendri	2506430	S	40	204	244	0.00002
Rhizobium freirei	1353277	S	13	35	48	0.00000
Rhizobium favelukesii	348824	S	10	460	470	0.00004
Agrobacterium tumefaciens	358	S	3791	3285	7076	0.00062
Agrobacterium fabrum	1176649	S	471	644	1115	0.00010
Agrobacterium radiobacter	362	S	12	584	596	0.00005
Agrobacterium vitis	373	S	1375	782	2157	0.00019
Agrobacterium sp. RAC06	1842536	S	147	270	417	0.00004
Agrobacterium sp. MA01	2664893	S	140	246	386	0.00003
Agrobacterium sp. T29	2580515	S	119	150	269	0.00002
Agrobacterium sp. CGMCC 11546	2579248	S	54	113	167	0.00001
Agrobacterium sp. 33MFTa1.1	1279031	S	37	272	309	0.00003
Agrobacterium sp. S7/73	2820002	S	15	147	162	0.00001
Agrobacterium sp. 13-2099-1-2	1841651	S	13	156	169	0.00001
Agrobacterium larrymoorei	160699	S	644	209	853	0.00007
Agrobacterium vaccinii	2735528	S	625	124	749	0.00007
Agrobacterium pusense	648995	S	542	2110	2652	0.00023
Agrobacterium rubi	28099	S	408	256	664	0.00006
Agrobacterium salinitolerans	1183413	S	249	153	402	0.00004
Agrobacterium leguminum	2792015	S	242	781	1023	0.00009
Agrobacterium cucumeris	2862866	S	212	163	375	0.00003
Agrobacterium deltaense	1183412	S	82	142	224	0.00002
Neorhizobium galegae	399	S	2520	511	3031	0.00026
Neorhizobium sp. CSC1952	2978974	S	1049	370	1419	0.00012
Neorhizobium sp. SOG26	2060726	S	738	209	947	0.00008
Neorhizobium sp. EC2-8	3129230	S	266	43	309	0.00003
Neorhizobium petrolearium	515361	S	1134	717	1851	0.00016
Pararhizobium sp. BT-229	2986923	S	981	163	1144	0.00010
Pararhizobium sp. YC-54	2986920	S	743	166	909	0.00008
Pararhizobium sp. IMCC3301	3067904	S	549	22	571	0.00005
Pararhizobium sp. IMCC21322	3067903	S	261	15	276	0.00002
Pararhizobium sp. A13	3133975	S	258	44	302	0.00003
Pararhizobium qamdonense	3031126	S	665	151	816	0.00007
Pararhizobium polonicum	1612624	S	14	8	22	0.00000
Pseudorhizobium banfieldiae	1125847	S	516	532	1048	0.00009
Pseudorhizobium flavum	1335061	S	507	420	927	0.00008
Allorhizobium pseudoryzae	379684	S	863	253	1116	0.00010
Allorhizobium ampelinum	3025782	S	96	194	290	0.00003
Sinorhizobium fredii	380	S	4637	3661	8298	0.00072
Sinorhizobium sp. BG8	2613773	S	1047	344	1391	0.00012
Sinorhizobium sp. RAC02	1842534	S	1001	406	1407	0.00012
Sinorhizobium sp. CCBAU 05631	794846	S	153	465	618	0.00005
Sinorhizobium sp. M14	430451	S	23	107	130	0.00001
Sinorhizobium meliloti	382	S	1515	3701	5216	0.00046
Sinorhizobium chiapasense	501572	S	1345	350	1695	0.00015
Sinorhizobium medicae	110321	S	1278	872	2150	0.00019
Sinorhizobium alkalisoli	1752398	S	1100	265	1365	0.00012
Sinorhizobium americanum	194963	S	1079	386	1465	0.00013
Sinorhizobium numidicum	680248	S	1051	317	1368	0.00012
Sinorhizobium mexicanum	375549	S	947	190	1137	0.00010
Sinorhizobium terangae	110322	S	945	218	1163	0.00010
Sinorhizobium sojae	716925	S	936	434	1370	0.00012
Sinorhizobium garamanticum	680247	S	890	280	1170	0.00010
Sinorhizobium kummerowiae	158892	S	88	347	435	0.00004
Ensifer adhaerens	106592	S	3918	1384	5302	0.00046
Ensifer canadensis	555315	S	1167	448	1615	0.00014
Ensifer sp. PDNC004	2811423	S	818	426	1244	0.00011
Shinella sp. XGS7	2877941	S	1553	3183	4736	0.00041
Shinella sp. PSBB067	2715959	S	1121	1604	2725	0.00024
Shinella sp. HZN7	879274	S	1044	3077	4121	0.00036
Shinella sp. H4-D48	2925841	S	400	362	762	0.00007
Shinella zoogloeoides	352475	S	3222	6243	9465	0.00083
Shinella oryzae	2871820	S	704	542	1246	0.00011
Shinella sumterensis	1967501	S	383	865	1248	0.00011
Shinella sedimenti	2919913	S	94	92	186	0.00002
Hoeflea sp. IMCC20628	1620421	S	755	86	841	0.00007
